"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"27","Sling Bag",NA,"Aaron","It's a basic strap but good value for money.
  
Read more","Verified Purchase","Reviewed in Australia on 29 March 2023","4.5 out of 5 stars"
"28","Sling Bag",NA,"Jason","Overall great but hard to attach to my guitar.
  
Read more","Verified Purchase","Reviewed in Australia on 29 February 2020","Next page"
"29","Sling Bag",NA,"Drumz5150","The hold is perfect, The size of the holes fits quite tight but not impossible to install or remove. The quality is excellent for the price. I will definitely buy another one for my other guitars. I could not expect less from Ernie ball, best quality for your money.
  
Read more","Verified Purchase","Reviewed in the United States on 25 March 2024","4.6 out of 5 stars"
"30","Sling Bag",NA,"Robert","It's perfect match for my Army Drab King V
  
Read more","Verified Purchase","Reviewed in Canada on 7 March 2024","Previous page"
"31","Sling Bag",NA,"Amazon Customer","Bought this as a gift for my girlfriend who is a Julian Baker fan and she loves it. The strap is high quality and looks like it will last a long time. As to be expected from Ernie Ball
  
Read more","Verified Purchase","Reviewed in Australia on 22 January 2024","4.6 out of 5 stars"
"32","Sling Bag",NA,"Amazon Customer","I got it for my daughter and she absolutely  Loved it . The quality and the value is superb.
  
Read more","Verified Purchase","Reviewed in Australia on 2 January 2024","Previous page"
"33","Sling Bag",NA,"Rory C","feels great and is super durable hasn’t stretched or torn since i’ve had it fits on my guitar perfectly
  
Read more","Verified Purchase","Reviewed in Australia on 19 December 2023","4.6 out of 5 stars"
"34","Sling Bag",NA,"Moira","Very happy with this strap, much more comfortable than the wide leather one I used before. Easy to adjust length.
  
Read more","Verified Purchase","Reviewed in Australia on 5 November 2023","4.4 out of 5 stars"
"35","Sling Bag",NA,"noah","Bought on a whim, as I tend to swap straps between guitars and don't mind doing so. But when it was on a sale it was hard to say no!Looks great on any guitars, it's clean and simple, so doesn't take attention away from the guitar itself.
  
Read more","Verified Purchase","Reviewed in Australia on 2 March 2023","4.1 out of 5 stars"
"36","Sling Bag",NA,"Jake Kindleyside","It’s simple in design and fits tightly on my RG like made in Japan Ibanez. I don’t perform or play standing a lot, so can’t comment on the comfort level on the shoulders of having to stand for an amount of time.
  
Read more","Verified Purchase","Reviewed in Australia on 19 March 2023","4.7 out of 5 stars"
"37","Sling Bag",NA,"Aaron","It's a basic strap but good value for money.
  
Read more","Verified Purchase","Reviewed in Australia on 29 March 2023","4.5 out of 5 stars"
"38","Sling Bag",NA,"Jason","Overall great but hard to attach to my guitar.
  
Read more","Verified Purchase","Reviewed in Australia on 29 February 2020","Next page"
"39","Sling Bag",NA,"Drumz5150","The hold is perfect, The size of the holes fits quite tight but not impossible to install or remove. The quality is excellent for the price. I will definitely buy another one for my other guitars. I could not expect less from Ernie ball, best quality for your money.
  
Read more","Verified Purchase","Reviewed in the United States on 25 March 2024","4.6 out of 5 stars"
"40","Sling Bag",NA,"Robert","It's perfect match for my Army Drab King V
  
Read more","Verified Purchase","Reviewed in Canada on 7 March 2024","Previous page"
"41","Sling Bag",NA,"Amazon Customer","Bought this as a gift for my girlfriend who is a Julian Baker fan and she loves it. The strap is high quality and looks like it will last a long time. As to be expected from Ernie Ball
  
Read more","Verified Purchase","Reviewed in Australia on 22 January 2024","4.6 out of 5 stars"
"42","Sling Bag",NA,"Amazon Customer","I got it for my daughter and she absolutely  Loved it . The quality and the value is superb.
  
Read more","Verified Purchase","Reviewed in Australia on 2 January 2024","Previous page"
"43","Sling Bag",NA,"Rory C","feels great and is super durable hasn’t stretched or torn since i’ve had it fits on my guitar perfectly
  
Read more","Verified Purchase","Reviewed in Australia on 19 December 2023","4.6 out of 5 stars"
"44","Sling Bag",NA,"Moira","Very happy with this strap, much more comfortable than the wide leather one I used before. Easy to adjust length.
  
Read more","Verified Purchase","Reviewed in Australia on 5 November 2023","4.4 out of 5 stars"
"45","Sling Bag",NA,"noah","Bought on a whim, as I tend to swap straps between guitars and don't mind doing so. But when it was on a sale it was hard to say no!Looks great on any guitars, it's clean and simple, so doesn't take attention away from the guitar itself.
  
Read more","Verified Purchase","Reviewed in Australia on 2 March 2023","4.1 out of 5 stars"
"46","Sling Bag",NA,"Jake Kindleyside","It’s simple in design and fits tightly on my RG like made in Japan Ibanez. I don’t perform or play standing a lot, so can’t comment on the comfort level on the shoulders of having to stand for an amount of time.
  
Read more","Verified Purchase","Reviewed in Australia on 19 March 2023","4.7 out of 5 stars"
"47","Sling Bag",NA,"Aaron","It's a basic strap but good value for money.
  
Read more","Verified Purchase","Reviewed in Australia on 29 March 2023","4.5 out of 5 stars"
"48","Sling Bag",NA,"Jason","Overall great but hard to attach to my guitar.
  
Read more","Verified Purchase","Reviewed in Australia on 29 February 2020","Next page"
"49","Sling Bag",NA,"Drumz5150","The hold is perfect, The size of the holes fits quite tight but not impossible to install or remove. The quality is excellent for the price. I will definitely buy another one for my other guitars. I could not expect less from Ernie ball, best quality for your money.
  
Read more","Verified Purchase","Reviewed in the United States on 25 March 2024","4.6 out of 5 stars"
"50","Sling Bag",NA,"Robert","It's perfect match for my Army Drab King V
  
Read more","Verified Purchase","Reviewed in Canada on 7 March 2024","Previous page"
