"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"21","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Steve Annett","First time with this brand and so far very happy with the sound and quality. Good value and I am hoping the strings will cope with my constant heavy playing.Great service from Amazon.","Verified Purchase","Reviewed in Australia on 3 March 2024","4.7 out of 5 stars"
"22","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Daniel Gh","My room mate loves these! He plays all the time and they sound great!","Verified Purchase","Reviewed in Australia on 22 December 2023","5.0 out of 5 stars"
"23","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Steve Annett","It took less than a day to arrive🫶🫶","Verified Purchase","Reviewed in Australia on 3 March 2024","1.0 out of 5 stars"
"24","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","NekoChiba","This strings with a great sound","Verified Purchase","Reviewed in Australia on 28 February 2024","5.0 out of 5 stars"
"25","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Chi","Excellent","Verified Purchase","Reviewed in Australia on 16 November 2023","5.0 out of 5 stars"
"26","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Chi","I am new at guitar, but they are definitely a lot easier on the fingers than my prior ones.  Sound good too.","Verified Purchase","Reviewed in Australia on 10 December 2023","5.0 out of 5 stars"
"27","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","SON LAI","I wanted some strings that had a nice sound and not too expensive.....mainly for practice. These are perfect and don't break the bank. Strings great so far, and as described in the listing.","Verified Purchase","Reviewed in Australia on 2 March 2024","5.0 out of 5 stars"
"28","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Nara Tai Bison","Great guitar strings for if you want to D-Tune your guitar","Verified Purchase","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars"
"29","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Happy Shopping","Brilliant arrival timing for a brilliant product. Contained exactly what it advertised and met my exact needs. Would recommend this product to anyone wishing to restring their guitar :DD","Verified Purchase","Reviewed in Australia on 19 June 2023","5.0 out of 5 stars"
"30","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Greg H","Strong and very practical strings","Verified Purchase","Reviewed in Australia on 22 October 2023","5.0 out of 5 stars"
"31","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Steve Annett","First time with this brand and so far very happy with the sound and quality. Good value and I am hoping the strings will cope with my constant heavy playing.Great service from Amazon.","Verified Purchase","Reviewed in Australia on 3 March 2024","4.7 out of 5 stars"
"32","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Daniel Gh","My room mate loves these! He plays all the time and they sound great!","Verified Purchase","Reviewed in Australia on 22 December 2023","5.0 out of 5 stars"
"33","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Steve Annett","It took less than a day to arrive🫶🫶","Verified Purchase","Reviewed in Australia on 3 March 2024","1.0 out of 5 stars"
"34","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","NekoChiba","This strings with a great sound","Verified Purchase","Reviewed in Australia on 28 February 2024","5.0 out of 5 stars"
"35","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Chi","Excellent","Verified Purchase","Reviewed in Australia on 16 November 2023","5.0 out of 5 stars"
"36","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Chi","I am new at guitar, but they are definitely a lot easier on the fingers than my prior ones.  Sound good too.","Verified Purchase","Reviewed in Australia on 10 December 2023","5.0 out of 5 stars"
"37","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","SON LAI","I wanted some strings that had a nice sound and not too expensive.....mainly for practice. These are perfect and don't break the bank. Strings great so far, and as described in the listing.","Verified Purchase","Reviewed in Australia on 2 March 2024","5.0 out of 5 stars"
"38","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Nara Tai Bison","Great guitar strings for if you want to D-Tune your guitar","Verified Purchase","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars"
"39","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Happy Shopping","Brilliant arrival timing for a brilliant product. Contained exactly what it advertised and met my exact needs. Would recommend this product to anyone wishing to restring their guitar :DD","Verified Purchase","Reviewed in Australia on 19 June 2023","5.0 out of 5 stars"
"40","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Greg H","Strong and very practical strings","Verified Purchase","Reviewed in Australia on 22 October 2023","5.0 out of 5 stars"
"41","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Steve Annett","First time with this brand and so far very happy with the sound and quality. Good value and I am hoping the strings will cope with my constant heavy playing.Great service from Amazon.","Verified Purchase","Reviewed in Australia on 3 March 2024","4.7 out of 5 stars"
"42","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Daniel Gh","My room mate loves these! He plays all the time and they sound great!","Verified Purchase","Reviewed in Australia on 22 December 2023","5.0 out of 5 stars"
"43","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Steve Annett","It took less than a day to arrive🫶🫶","Verified Purchase","Reviewed in Australia on 3 March 2024","1.0 out of 5 stars"
"44","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","NekoChiba","This strings with a great sound","Verified Purchase","Reviewed in Australia on 28 February 2024","5.0 out of 5 stars"
"45","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Chi","Excellent","Verified Purchase","Reviewed in Australia on 16 November 2023","5.0 out of 5 stars"
"46","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Chi","I am new at guitar, but they are definitely a lot easier on the fingers than my prior ones.  Sound good too.","Verified Purchase","Reviewed in Australia on 10 December 2023","5.0 out of 5 stars"
"47","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","SON LAI","I wanted some strings that had a nice sound and not too expensive.....mainly for practice. These are perfect and don't break the bank. Strings great so far, and as described in the listing.","Verified Purchase","Reviewed in Australia on 2 March 2024","5.0 out of 5 stars"
"48","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Nara Tai Bison","Great guitar strings for if you want to D-Tune your guitar","Verified Purchase","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars"
"49","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Happy Shopping","Brilliant arrival timing for a brilliant product. Contained exactly what it advertised and met my exact needs. Would recommend this product to anyone wishing to restring their guitar :DD","Verified Purchase","Reviewed in Australia on 19 June 2023","5.0 out of 5 stars"
"50","Sling Bag","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Greg H","Strong and very practical strings","Verified Purchase","Reviewed in Australia on 22 October 2023","5.0 out of 5 stars"
